timestamp,camera_id,type,track_id,subject_id,activity,confidence,persons_in_frame,phones_in_frame
2026-06-23T06:39:38.622712+00:00,cam-01,behavior,1,unknown,working,0.921,1,0
2026-06-23T06:39:38.713089+00:00,cam-01,behavior,1,unknown,working,0.918,1,0
2026-06-23T06:39:38.759018+00:00,cam-01,behavior,1,unknown,working,0.917,1,0
2026-06-23T06:39:38.793893+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:38.831765+00:00,cam-01,behavior,1,unknown,idle,0.915,1,0
2026-06-23T06:39:38.872728+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:38.922449+00:00,cam-01,behavior,1,unknown,idle,0.92,1,0
2026-06-23T06:39:38.984267+00:00,cam-01,behavior,1,unknown,idle,0.914,1,0
2026-06-23T06:39:39.025536+00:00,cam-01,behavior,1,unknown,idle,0.918,1,0
2026-06-23T06:39:39.074984+00:00,cam-01,behavior,1,unknown,idle,0.915,1,0
2026-06-23T06:39:39.118488+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:39.158992+00:00,cam-01,behavior,1,unknown,idle,0.914,1,0
2026-06-23T06:39:39.207389+00:00,cam-01,behavior,1,unknown,idle,0.921,1,0
2026-06-23T06:39:39.247501+00:00,cam-01,behavior,1,unknown,idle,0.921,1,0
2026-06-23T06:39:39.282405+00:00,cam-01,behavior,1,unknown,idle,0.92,1,0
2026-06-23T06:39:39.322709+00:00,cam-01,behavior,1,unknown,idle,0.915,1,0
2026-06-23T06:39:39.348638+00:00,cam-01,behavior,1,unknown,idle,0.913,1,0
2026-06-23T06:39:39.372884+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:39.409060+00:00,cam-01,behavior,1,unknown,idle,0.913,1,0
2026-06-23T06:39:39.435341+00:00,cam-01,behavior,1,unknown,idle,0.916,1,0
2026-06-23T06:39:39.464929+00:00,cam-01,behavior,1,unknown,idle,0.916,1,0
2026-06-23T06:39:39.498554+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:39.523893+00:00,cam-01,behavior,1,unknown,idle,0.916,1,0
2026-06-23T06:39:39.556844+00:00,cam-01,behavior,1,unknown,idle,0.916,1,0
2026-06-23T06:39:39.593467+00:00,cam-01,behavior,1,unknown,idle,0.918,1,0
2026-06-23T06:39:39.626971+00:00,cam-01,behavior,1,unknown,idle,0.914,1,0
2026-06-23T06:39:39.645258+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:39.695534+00:00,cam-01,behavior,1,unknown,idle,0.92,1,0
2026-06-23T06:39:39.731410+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
2026-06-23T06:39:39.764201+00:00,cam-01,behavior,1,unknown,idle,0.918,1,0
2026-06-23T06:39:39.798811+00:00,cam-01,behavior,1,unknown,idle,0.917,1,0
